ep_num,title,air_date,subject,ticker,parent,status,source_note
1,Pixar,2015-10-15,Pixar,DIS,Disney,parent,"S1E1; https://www.acquired.fm/episodes/episode-1-pixar; acquired by Disney 2006, public parent DIS"
2,Instagram,2015-11-01,Instagram,META,Facebook,parent,"S1E2; https://www.acquired.fm/episodes/episode-2-instagram; acquired by Facebook 2012, public parent FB (renamed META 2022)"
3,Twitch,2015-11-16,Twitch,AMZN,Amazon,parent,"S1E3; https://www.acquired.fm/episodes/episode-3-twitch; acquired by Amazon 2014, public parent AMZN"
4,Bungie (with Xbox Co-Founder Ed Fries),2015-11-30,Bungie,,,skipped,"S1E4; https://www.acquired.fm/episodes/episode-4-bungie; independent private studio at air date, no public parent (Sony acquired Bungie in 2022, after air date)"
5,Siri,2015-12-14,Siri,AAPL,Apple,parent,"S1E5; https://www.acquired.fm/episodes/episode-5-siri; acquired by Apple 2010, public parent AAPL"
6,Lucasfilm,2016-01-19,Lucasfilm,DIS,Disney,parent,"S1E6; https://www.acquired.fm/episodes/episode-6-lucasfilm; acquired by Disney 2012, public parent DIS"
7,YouTube,2016-02-03,YouTube,GOOGL,Alphabet,parent,"S1E7; https://www.acquired.fm/episodes/episode-7-youtube; acquired by Google 2006, public parent Alphabet (GOOGL) post-2015 holding company reorg"
8,"Acompli, Sunrise, and Wunderlist (with Kurt DelBene)",2016-02-29,Acompli/Sunrise/Wunderlist,MSFT,Microsoft,parent,"S1E8; https://www.acquired.fm/episodes/episode-8-acompli-sunrise-and-wunderlist; all three acquired by Microsoft 2014-2015, public parent MSFT"
9,Writely (Google Docs),2016-03-29,Writely,GOOGL,Alphabet,parent,"S1E9; https://www.acquired.fm/episodes/episode-9-writely-google-docs; acquired by Google 2006, public parent Alphabet (GOOGL)"
10,Virgin America,2016-04-26,Virgin America,VA,,public,S1E10; https://www.acquired.fm/episodes/episode-10-virgin-america; Virgin America traded publicly as VA on air date; Alaska Air deal (announced Apr 2016) had not closed yet
11,PayPal,2016-05-08,PayPal,PYPL,,public,"S1E11; https://www.acquired.fm/episodes/episode-11-paypal; PayPal spun off from eBay July 2015, independent public company PYPL"
12,Snapchat,2016-05-22,Snapchat,,,skipped,"S1E12; https://www.acquired.fm/episodes/episode-12-snapchat; Snapchat/Snap Inc. was private on air date, IPO not until March 2017"
13,Push Pop Press (Facebook Instant Articles) with Todd Bishop,2016-06-05,Push Pop Press,META,Facebook,parent,"S1E13; https://www.acquired.fm/episodes/episode-13-push-pop-press-facebook-instant-articles-with-todd-bishop; acquired by Facebook 2011, public parent FB (renamed META 2022)"
14,LinkedIn,2016-06-16,LinkedIn,LNKD,,public,S1E14; https://www.acquired.fm/episodes/episode-14-linkedin; LinkedIn still traded publicly as LNKD on air date; Microsoft deal announced 2016-06-13 but did not close until 2016-12-08
15,ExactTarget (acquired by Salesforce) with Scott Dorsey,2016-07-05,ExactTarget,CRM,Salesforce,parent,"S1E15; https://www.acquired.fm/episodes/acquired-episode-15-exacttarget-acquired-by-salesforce-with-scott-dorsey; acquired by Salesforce 2013, public parent CRM"
16,Midroll + Stitcher (acquired by Scripps),2016-07-12,Midroll/Stitcher,SSP,E.W. Scripps,parent,"S1E16; https://www.acquired.fm/episodes/acquired-episode-16-midroll-stitcher-acquired-by-scripps; Midroll Media (parent of Stitcher) acquired by E.W. Scripps 2016, public parent SSP"
17,Waze,2016-08-03,Waze,GOOGL,Alphabet,parent,"S1E17; https://www.acquired.fm/episodes/acquired-episode-17-waze; acquired by Google 2013, public parent Alphabet (GOOGL)"
18,Jet,2016-08-29,Jet.com,,,skipped,S1E19; https://www.acquired.fm/episodes/meta; Jet.com still private on air date; Walmart deal announced 2016-08-08 but did not close until 2016-09-19
19,Android,2016-09-16,Android,GOOGL,Alphabet,parent,"S1E20; https://www.acquired.fm/episodes/episode-20-android; acquired by Google 2005, public parent Alphabet (GOOGL)"
20,Inside the M&A Press with Bloomberg's Alex Sherman,2016-09-27,,,,skipped,"S1E21; https://www.acquired.fm/episodes/episode-21-inside-the-ma-press-with-bloombergs-alex-sherman; episode is a discussion of M&A journalism, not about a specific company"
21,Zillow + Trulia (with Zillow Group CFO Kathleen Philips),2016-10-13,Zillow,Z,,public,S1E22; https://www.acquired.fm/episodes/episode-22-zillow-trulia-with-zillow-group-cfo-kathleen-philips; Zillow Group publicly traded (Z) on air date; Zillow acquired Trulia in 2015
22,NeXT (Live show at the GeekWire Summit),2016-10-23,NeXT,AAPL,Apple,parent,"S1E23; https://www.acquired.fm/episodes/episode-23-next-live-show-at-the-geekwire-summit; acquired by Apple 1997, public parent AAPL"
23,Skype,2016-11-01,Skype,MSFT,Microsoft,parent,"S1E24; https://www.acquired.fm/episodes/episode-24-skype; acquired by Microsoft 2011, public parent MSFT"
24,The Facebook IPO,2016-11-11,Facebook,META,,public,"S1E25; https://www.acquired.fm/episodes/episode-25-the-facebook-ipo; Facebook publicly traded since 2012 IPO (ticker FB, renamed META 2022)"
25,Marvel,2016-12-05,Marvel,DIS,Disney,parent,"S1E26; https://www.acquired.fm/episodes/episode-25-marvel; acquired by Disney 2009, public parent DIS"
26,The Amazon IPO with original Amazon Board Member Tom Alberg,2016-12-31,Amazon,AMZN,,public,"S1E28; https://www.acquired.fm/episodes/episode-28-the-amazon-ipo-with-original-amazon-board-member-tom-alberg; Amazon publicly traded since 1997 IPO, ticker AMZN throughout"
27,P.A. Semi + AuthenTec,2017-01-24,P.A. Semi / AuthenTec,AAPL,Apple Inc,parent,"S1E30; https://www.acquired.fm/episodes/episode-30-pa-semi-authentec; P.A. Semi acquired by Apple 2008, AuthenTec acquired by Apple 2012, both private-to-Apple deals; public parent AAPL"
28,"The Uber - Didi Chuxing Merger with Brad Stone, author of The Upstarts & The Everything Store",2017-02-28,Uber / Didi Chuxing,,,skipped,"S1E31; https://www.acquired.fm/episodes/episode-31-the-uber-didi-chuxing-merger-with-brad-stone-author-of-the-upstarts-the-everything-store; both Uber and Didi Chuxing were private on air date (Uber IPO 2019), no public parent"
29,The Snap Inc. IPO,2017-03-04,Snap Inc.,SNAP,,public,"S1E32; https://www.acquired.fm/episodes/episode-32-the-snap-inc-ipo; Snap IPO'd 2017-03-02, already public two days before air date"
30,Overture (with the Internet History Podcast!),2017-03-13,Overture Services,YHOO,Yahoo! Inc,parent,"S1E33; https://www.acquired.fm/episodes/episode-33-overture-with-the-internet-history-podcast; Overture acquired by Yahoo 2003; Yahoo still independent public co (YHOO) on air date, later renamed Altaba after selling ops to Verizon June 2017"
31,The Starbucks IPO with Dan Levitan,2017-04-03,Starbucks,SBUX,,public,S1E34; https://www.acquired.fm/episodes/episode-34-starbucks-ipo-with-dan-levitan; Starbucks public since 1992 IPO
32,Oculus,2017-04-11,Oculus VR,META,Meta Platforms,parent,"S1E35; https://www.acquired.fm/episodes/episode-35-oculus; Oculus acquired by Facebook 2014; ticker FB renamed META in 2022, use current symbol"
33,The LA Clippers,2017-04-23,LA Clippers,,,skipped,"S1E36; https://www.acquired.fm/episodes/episode-36-the-la-clippers; NBA team privately owned by Steve Ballmer since 2014, no public parent"
34,"BAMTech, Disney and ""the Biggest Media Company You've Never Heard Of”",2017-05-10,BAMTech,,,skipped,"S1E37; https://www.acquired.fm/episodes/episode-37-bamtech-disney-and-the-biggest-media-company-youve-never-heard-of; Disney held only a 33% minority stake at air date (bought Aug 2016); majority owned by MLB Advanced Media, a private league entity, so not yet acquired by a public parent"
